name,radar_an,radar_an2,radar_m0,radar_per,nobrak,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh,hdg,dir_std,wind_speed
22-11-21_12-56,311,311,0.210249987491627,42.6666666666667,1,10,231,2.1,1.5,10,5.5,39,14,135.69904457065,12.618282046582,-20.4938454463968,4.34822916666667,,1.3,17,12.2123861312866
22-11-21_19-00,3,3,0.344077011574014,80,1,5,222,2.4,1.3,10.6,5.1,43,12.8,144.505283646665,13.4646674985381,-20.5718027306982,4.291625,2.48,359.2,0,11.3676729202271
22-11-22_06-57,180,180,0.252523693233936,inf,1,0,222,2.5,1.5,7.8,4.7,40,14.8,148.415367435212,15.1098919937313,-20.7249365431499,4.42798958333333,2.608,358.1,17,12.9665975570679
22-11-22_12-56,11,11,0.135582932623544,80,1,2,248,2,1.4,9,3.5,44,10.8,142.815595561445,15.977815287655,-20.806085828859,4.5231875,2.31,358.5,17,13.1020650863647
22-11-22_18-53,5,5,0.23220984590249,53.3333333333333,1,7,243,2.2,1.4,8.8,4.3,43,8.4,135.394830372455,16.8497362968534,-20.8884852554217,4.43570833333333,2.23,1.8,5,14.5959091186523
22-11-23_07-55,171,171,0.310532829419626,inf,1,245,0,2.2,1.7,5.1,8.5,11,43,136.383829833096,18.7512383448691,-21.0678635058615,4.54119791666667,2.279,0.8,231,15.0150365829468
22-11-23_12-54,55,55,0.727124164332616,128,1,250,,2.2,,5.4,,14,,111.921226099142,19.4382521666137,-21.1334349751645,4.04977083333333,,0.8,231,13.9888286590576
22-11-23_16-54,37,37,0.28679938344164,320,1,266,10,2,2.3,5.2,8.5,12.4,43,121.093234476103,19.9548764147832,-21.1829174803071,4.07035416666667,,357.2,22,13.4505615234375
22-11-24_08-56,11,11,0.386920615583506,128,1,60,225,1.1,0.8,7.8,4.4,33,10,106.847439287345,22.3406748872816,-21.4135038929253,4.99660416666667,,354.7,11,8.54944324493408
22-11-24_12-57,177,177,0.226294964054668,213.333333333333,1,30,175,1.2,0.9,6.8,4.4,27,12,138.953593295209,22.8872603430073,-21.3443770322481,4.847375,,32.1,142,11.9180221557617
22-11-24_16-56,8,8,0.0757824936594586,5.28925619834711,1,166,60,1.2,1.1,5.2,6,20,25,133.180369144739,23.4011114493435,-20.9530681163633,4.63125,2.427,10.6,294,11.1020088195801
22-11-25_09-00,61,61,0.588225061098702,160,1,330,90,1.8,1.1,10.2,8,81,35,84.8313712808586,25.7825988480464,-19.78365210799,5.31821875,2.972,21.8,160,12.796895980835
22-11-25_12-56,313,313,0.202714433051527,49.2307692307692,1,330,100,1.8,1.3,9.2,8,61,40,120.765269106932,26.4181138223312,-19.5150862361827,5.341375,,20.6,154,9.7343168258667
